13.5 21.1666666667 37.1666666667 ['13.5'] ['21.0'] ['36.0']
13.5 20.8333333333 36.8333333333 ['13.5847457627'] ['21.0'] ['35.8305084746']
13.5 21.1666666667 36.5 ['13.6694915254'] ['21.0'] ['35.6610169492']
13.8333333333 20.8333333333 34.1666666667 ['13.7542372881'] ['21.0'] ['35.4915254237']
13.8333333333 21.1666666667 35.1666666667 ['13.8389830508'] ['21.0'] ['35.3220338983']
13.8333333333 20.8333333333 35.5 ['13.9237288136'] ['21.0'] ['35.1525423729']
13.8333333333 20.8333333333 34.8333333333 ['14.0084745763'] ['21.0'] ['34.9830508475']
14.1666666667 21.1666666667 35.5 ['14.093220339'] ['21.0'] ['34.813559322']
14.1666666667 21.1666666667 34.8333333333 ['14.1779661017'] ['21.0'] ['34.6440677966']
14.1666666667 21.1666666667 33.8333333333 ['14.2627118644'] ['21.0'] ['34.4745762712']
14.5 20.8333333333 34.1666666667 ['14.3474576271'] ['21.0'] ['34.3050847458']
14.5 20.8333333333 34.5 ['14.4322033898'] ['21.0'] ['34.1355932203']
14.5 21.1666666667 33.8333333333 ['14.5169491525'] ['21.0'] ['33.9661016949']
14.5 21.1666666667 34.1666666667 ['14.6016949153'] ['21.0'] ['33.7966101695']
14.8333333333 20.8333333333 33.8333333333 ['14.686440678'] ['21.0'] ['33.6271186441']
14.8333333333 21.1666666667 33.5 ['14.7711864407'] ['21.0'] ['33.4576271186']
14.8333333333 21.1666666667 33.1666666667 ['14.8559322034'] ['21.0'] ['33.2881355932']
14.8333333333 20.8333333333 33.1666666667 ['14.9406779661'] ['21.0'] ['33.1186440678']
15.1666666667 20.8333333333 33.1666666667 ['15.0254237288'] ['21.0'] ['32.9491525424']
15.1666666667 20.8333333333 32.8333333333 ['15.1101694915'] ['21.0'] ['32.7796610169']
15.1666666667 20.8333333333 32.5 ['15.1949152542'] ['21.0'] ['32.6101694915']
15.1666666667 21.1666666667 32.5 ['15.2796610169'] ['21.0'] ['32.4406779661']
15.5 21.1666666667 32.1666666667 ['15.3644067797'] ['21.0'] ['32.2711864407']
15.5 21.1666666667 32.1666666667 ['15.4491525424'] ['21.0'] ['32.1016949153']
15.5 21.1666666667 31.8333333333 ['15.5338983051'] ['21.0'] ['31.9322033898']
15.5 20.8333333333 31.8333333333 ['15.6186440678'] ['21.0'] ['31.7627118644']
15.8333333333 20.8333333333 31.5 ['15.7033898305'] ['21.0'] ['31.593220339']
15.8333333333 20.8333333333 31.5 ['15.7881355932'] ['21.0'] ['31.4237288136']
15.8333333333 21.1666666667 31.1666666667 ['15.8728813559'] ['21.0'] ['31.2542372881']
16.1666666667 20.8333333333 31.1666666667 ['15.9576271186'] ['21.0'] ['31.0847457627']
16.1666666667 20.8333333333 30.8333333333 ['16.0423728814'] ['21.0'] ['30.9152542373']
0.0 21.1666666667 30.5 ['16.1271186441'] ['21.0'] ['30.7457627119']
0.0 20.8333333333 30.5 ['16.2118644068'] ['21.0'] ['30.5762711864']
16.8333333333 20.8333333333 30.5 ['16.2966101695'] ['21.0'] ['30.406779661']
0.0 20.8333333333 30.1666666667 ['16.3813559322'] ['21.0'] ['30.2372881356']
0.0 21.1666666667 30.1666666667 ['16.4661016949'] ['21.0'] ['30.0677966102']
0.0 21.1666666667 29.8333333333 ['16.5508474576'] ['21.0'] ['29.8983050847']
0.0 21.1666666667 29.8333333333 ['16.6355932203'] ['21.0'] ['29.7288135593']
0.0 20.8333333333 29.5 ['16.7203389831'] ['21.0'] ['29.5593220339']
0.0 20.8333333333 29.5 ['16.8050847458'] ['21.0'] ['29.3898305085']
0.0 20.8333333333 29.1666666667 ['16.8898305085'] ['21.0'] ['29.2203389831']
0.0 21.1666666667 29.1666666667 ['16.9745762712'] ['21.0'] ['29.0508474576']
0.0 20.8333333333 28.8333333333 ['17.0593220339'] ['21.0'] ['28.8813559322']
0.0 20.8333333333 28.5 ['17.1440677966'] ['21.0'] ['28.7118644068']
0.0 21.8333333333 28.5 ['17.2288135593'] ['21.0'] ['28.5423728814']
0.0 21.5 28.5 ['17.313559322'] ['21.0'] ['28.3728813559']
0.0 21.1666666667 28.1666666667 ['17.3983050847'] ['21.0'] ['28.2033898305']
0.0 13.5 28.1666666667 ['17.4830508475'] ['21.0'] ['28.0338983051']
0.0 15.8333333333 27.8333333333 ['17.5677966102'] ['21.0'] ['27.8644067797']
0.0 0.0 27.8333333333 ['17.6525423729'] ['21.0'] ['27.6949152542']
0.0 0.0 27.5 ['17.7372881356'] ['21.0'] ['27.5254237288']
0.0 0.0 27.5 ['17.8220338983'] ['21.0'] ['27.3559322034']
0.0 0.0 27.1666666667 ['17.906779661'] ['21.0'] ['27.186440678']
0.0 0.0 26.8333333333 ['17.9915254237'] ['21.0'] ['27.0169491525']
0.0 0.0 26.8333333333 ['18.0762711864'] ['21.0'] ['26.8474576271']
0.0 0.0 26.8333333333 ['18.1610169492'] ['21.0'] ['26.6779661017']
0.0 0.0 26.5 ['18.2457627119'] ['21.0'] ['26.5084745763']
0.0 0.0 26.1666666667 ['18.3305084746'] ['21.0'] ['26.3389830508']
0.0 0.0 26.1666666667 ['18.4152542373'] ['21.0'] ['26.1694915254']
0.0 0.0 26.1666666667 ['18.5'] ['21.0'] ['26.0']
