       0.000E+0	      7.303E-11
       1.000E-5	      7.314E-11
       2.000E-5	      7.335E-11
       3.000E-5	      7.346E-11
       4.000E-5	      7.335E-11
       5.000E-5	      7.335E-11
       6.000E-5	      7.346E-11
       7.000E-5	      7.367E-11
       8.000E-5	      7.367E-11
       9.000E-5	      7.367E-11
       1.000E-4	      7.388E-11
       1.100E-4	      7.388E-11
       1.200E-4	      7.410E-11
       1.300E-4	      7.410E-11
       1.400E-4	      7.420E-11
       1.500E-4	      7.420E-11
       1.600E-4	      7.431E-11
       1.700E-4	      7.410E-11
       1.800E-4	      7.431E-11
       1.900E-4	      7.410E-11
       2.000E-4	      7.431E-11
       2.100E-4	      7.431E-11
       2.200E-4	      7.420E-11
       2.300E-4	      7.420E-11
       2.400E-4	      7.442E-11
       2.500E-4	      7.442E-11
       2.600E-4	      7.442E-11
       2.700E-4	      7.420E-11
       2.800E-4	      7.442E-11
       2.900E-4	      7.420E-11
       3.000E-4	      7.431E-11
       3.100E-4	      7.431E-11
       3.200E-4	      7.420E-11
       3.300E-4	      7.420E-11
       3.400E-4	      7.420E-11
       3.500E-4	      7.431E-11
       3.600E-4	      7.410E-11
       3.700E-4	      7.420E-11
       3.800E-4	      7.431E-11
       3.900E-4	      7.431E-11
       4.000E-4	      7.431E-11
       4.100E-4	      7.420E-11
       4.200E-4	      7.420E-11
       4.300E-4	      7.452E-11
       4.400E-4	      7.442E-11
       4.500E-4	      7.431E-11
       4.600E-4	      7.442E-11
       4.700E-4	      7.442E-11
       4.800E-4	      7.452E-11
       4.900E-4	      7.463E-11
       5.000E-4	      7.452E-11
       5.100E-4	      7.463E-11
       5.200E-4	      7.474E-11
       5.300E-4	      7.474E-11
       5.400E-4	      7.495E-11
       5.500E-4	      7.474E-11
       5.600E-4	      7.495E-11
       5.700E-4	      7.484E-11
       5.800E-4	      7.495E-11
       5.900E-4	      7.506E-11
       6.000E-4	      7.495E-11
       6.100E-4	      7.506E-11
       6.200E-4	      7.495E-11
       6.300E-4	      7.495E-11
       6.400E-4	      7.506E-11
       6.500E-4	      7.495E-11
       6.600E-4	      7.495E-11
       6.700E-4	      7.495E-11
       6.800E-4	      7.474E-11
       6.900E-4	      7.495E-11
       7.000E-4	      7.484E-11
       7.100E-4	      7.474E-11
       7.200E-4	      7.484E-11
       7.300E-4	      7.474E-11
       7.400E-4	      7.463E-11
       7.500E-4	      7.474E-11
       7.600E-4	      7.452E-11
       7.700E-4	      7.452E-11
       7.800E-4	      7.463E-11
       7.900E-4	      7.452E-11
       8.000E-4	      7.442E-11
       8.100E-4	      7.452E-11
       8.200E-4	      7.431E-11
       8.300E-4	      7.431E-11
       8.400E-4	      7.431E-11
       8.500E-4	      7.431E-11
       8.600E-4	      7.410E-11
       8.700E-4	      7.410E-11
       8.800E-4	      7.399E-11
       8.900E-4	      7.399E-11
       9.000E-4	      7.388E-11
       9.100E-4	      7.388E-11
       9.200E-4	      7.367E-11
       9.300E-4	      7.346E-11
       9.400E-4	      7.346E-11
       9.500E-4	      7.357E-11
       9.600E-4	      7.335E-11
       9.700E-4	      7.325E-11
       9.800E-4	      7.325E-11
       9.900E-4	      7.325E-11
       1.000E-3	      7.325E-11
       1.010E-3	      7.314E-11
       1.020E-3	      7.303E-11
       1.030E-3	      7.293E-11
       1.040E-3	      7.303E-11
       1.050E-3	      7.282E-11
       1.060E-3	      7.293E-11
       1.070E-3	      7.293E-11
       1.080E-3	      7.293E-11
       1.090E-3	      7.271E-11
       1.100E-3	      7.282E-11
       1.110E-3	      7.261E-11
       1.120E-3	      7.261E-11
       1.130E-3	      7.261E-11
       1.140E-3	      7.250E-11
       1.150E-3	      7.218E-11
       1.160E-3	      7.218E-11
       1.170E-3	      7.218E-11
       1.180E-3	      7.197E-11
       1.190E-3	      7.186E-11
       1.200E-3	      7.176E-11
       1.210E-3	      7.165E-11
       1.220E-3	      7.144E-11
       1.230E-3	      7.144E-11
       1.240E-3	      7.133E-11
       1.250E-3	      7.144E-11
       1.260E-3	      7.112E-11
       1.270E-3	      7.112E-11
       1.280E-3	      7.101E-11
       1.290E-3	      7.090E-11
       1.300E-3	      7.080E-11
       1.310E-3	      7.090E-11
       1.320E-3	      7.059E-11
       1.330E-3	      7.048E-11
       1.340E-3	      7.069E-11
       1.350E-3	      7.037E-11
       1.360E-3	      7.048E-11
       1.370E-3	      7.059E-11
       1.380E-3	      7.037E-11
       1.390E-3	      7.037E-11
       1.400E-3	      7.037E-11
       1.410E-3	      7.027E-11
       1.420E-3	      7.027E-11
       1.430E-3	      7.027E-11
       1.440E-3	      7.037E-11
       1.450E-3	      7.059E-11
       1.460E-3	      7.080E-11
       1.470E-3	      7.059E-11
       1.480E-3	      7.069E-11
       1.490E-3	      7.059E-11
       1.500E-3	      7.101E-11
       1.510E-3	      7.069E-11
       1.520E-3	      7.090E-11
       1.530E-3	      7.090E-11
       1.540E-3	      7.101E-11
       1.550E-3	      7.090E-11
       1.560E-3	      7.112E-11
       1.570E-3	      7.122E-11
       1.580E-3	      7.133E-11
       1.590E-3	      7.144E-11
       1.600E-3	      7.122E-11
       1.610E-3	      7.133E-11
       1.620E-3	      7.154E-11
       1.630E-3	      7.144E-11
       1.640E-3	      7.165E-11
       1.650E-3	      7.176E-11
       1.660E-3	      7.165E-11
       1.670E-3	      7.186E-11
       1.680E-3	      7.186E-11
       1.690E-3	      7.176E-11
       1.700E-3	      7.186E-11
       1.710E-3	      7.197E-11
       1.720E-3	      7.218E-11
       1.730E-3	      7.218E-11
       1.740E-3	      7.218E-11
